@W: CD134 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_ctrl.vhd":136:26:136:34|No such identifier, enb_start, of proper type in current declarative region
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Optimizing register bit s_LEDPTN(7) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Optimizing register bit s_LEDPTN(13) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Optimizing register bit s_LEDPTN(14) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Optimizing register bit s_LEDPTN(15) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Pruning register bits 15 to 13 of s_LEDPTN(15 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Pruning register bits 7 to 5 of s_LEDPTN(15 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b2\dcfifo_rx_b2.vhd":815:4:815:16|Input cin of instance full_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b2\dcfifo_rx_b2.vhd":770:4:770:17|Input cin of instance empty_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b2\dcfifo_rx_b2.vhd":731:4:731:13|Input cin of instance r_gctr_cia is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b2\dcfifo_rx_b2.vhd":693:4:693:13|Input cin of instance w_gctr_cia is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b1\dcfifo_rx_b1.vhd":816:4:816:16|Input cin of instance full_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b1\dcfifo_rx_b1.vhd":771:4:771:17|Input cin of instance empty_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b1\dcfifo_rx_b1.vhd":732:4:732:13|Input cin of instance r_gctr_cia is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_rx_b1\dcfifo_rx_b1.vhd":694:4:694:13|Input cin of instance w_gctr_cia is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b2\dcfifo_tx_b2.vhd":816:4:816:16|Input cin of instance full_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b2\dcfifo_tx_b2.vhd":771:4:771:17|Input cin of instance empty_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b2\dcfifo_tx_b2.vhd":732:4:732:13|Input cin of instance r_gctr_cia is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b2\dcfifo_tx_b2.vhd":694:4:694:13|Input cin of instance w_gctr_cia is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b1\dcfifo_tx_b1.vhd":815:4:815:16|Input cin of instance full_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b1\dcfifo_tx_b1.vhd":770:4:770:17|Input cin of instance empty_cmp_ci_a is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b1\dcfifo_tx_b1.vhd":731:4:731:13|Input cin of instance r_gctr_cia is floating
@W: CL167 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\dcfifo_tx_b1\dcfifo_tx_b1.vhd":693:4:693:13|Input cin of instance w_gctr_cia is floating
@W: CL168 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\IPcore\pll_gen\pll_gen.vhd":54:4:54:17|Removing instance scuba_vhi_inst because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Optimizing register bit s_prpty(1) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Optimizing register bit s_prpty(2) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Optimizing register bit s_prpty(4) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Optimizing register bit s_prpty(5) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Optimizing register bit s_prpty(6) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Optimizing register bit s_prpty(7) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Pruning register bits 7 to 4 of s_prpty(7 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slv_ctrl_top.vhd":192:2:192:3|Pruning register bits 2 to 1 of s_prpty(7 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\slvadr_cnv.vhd":53:4:53:5|Pruning register bits 7 to 6 of s_HEX_OUT(7 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL246 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\slv_com\rx_com\dec4b_3b.vhd":22:8:22:13|Input port bits 1 to 0 of datain(9 downto 0) are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\DAC43608\DAC_CTRL_1CH.vhd":37:2:37:9|Input port bits 5 to 2 of wb_dat_o(7 downto 0) are unused. Assign logic for all port bits or change the input port size.
@W: CL247 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\DAC43608\DAC_CTRL_1CH.vhd":37:2:37:9|Input port bit 0 of wb_dat_o(7 downto 0) is unused 
@W: CL279 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Pruning register bits 12 to 11 of s_LEDPTN(12 downto 8). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL260 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Pruning register bit 9 of s_LEDPTN(12 downto 8). If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL279 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\LEDLT\LEDLT_TOP.vhd":103:2:103:3|Pruning register bits 4 to 1 of s_LEDPTN(4 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL247 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_u_step_ext.vhd":33:8:33:18|Input port bit 7 of init_reg_in(7 downto 0) is unused 
@W: CL246 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_u_step_ext.vhd":33:8:33:18|Input port bits 5 to 0 of init_reg_in(7 downto 0) are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\FPGA work\PCBNo.10081\PCBNo.10081\RTL\SP0557\compactppmc\ppmc_ctrl.vhd":41:8:41:18|Input port bits 6 to 4 of command_reg(7 downto 0) are unused. Assign logic for all port bits or change the input port size.

